date,date,cases
2020-01-21,2020-01-21,1
2020-01-22,2020-01-22,1
2020-01-23,2020-01-23,1
2020-01-24,2020-01-24,2
2020-01-25,2020-01-25,3
2020-01-26,2020-01-26,5
2020-01-27,2020-01-27,5
2020-01-28,2020-01-28,5
2020-01-29,2020-01-29,5
2020-01-30,2020-01-30,6
2020-01-31,2020-01-31,7
2020-02-01,2020-02-01,8
2020-02-02,2020-02-02,11
2020-02-03,2020-02-03,11
2020-02-04,2020-02-04,11
2020-02-05,2020-02-05,12
2020-02-06,2020-02-06,12
2020-02-07,2020-02-07,12
2020-02-08,2020-02-08,12
2020-02-09,2020-02-09,12
2020-02-10,2020-02-10,13
2020-02-11,2020-02-11,13
2020-02-12,2020-02-12,14
2020-02-13,2020-02-13,15
2020-02-14,2020-02-14,15
2020-02-15,2020-02-15,15
2020-02-16,2020-02-16,15
2020-02-17,2020-02-17,25
2020-02-18,2020-02-18,25
2020-02-19,2020-02-19,25
2020-02-20,2020-02-20,27
2020-02-21,2020-02-21,30
2020-02-22,2020-02-22,30
2020-02-23,2020-02-23,30
2020-02-24,2020-02-24,43
2020-02-25,2020-02-25,45
2020-02-26,2020-02-26,60
2020-02-27,2020-02-27,60
2020-02-28,2020-02-28,65
2020-02-29,2020-02-29,70
2020-03-01,2020-03-01,88
2020-03-02,2020-03-02,104
2020-03-03,2020-03-03,125
2020-03-04,2020-03-04,161
2020-03-05,2020-03-05,228
2020-03-06,2020-03-06,311
2020-03-07,2020-03-07,428
2020-03-08,2020-03-08,547
2020-03-09,2020-03-09,748
2020-03-10,2020-03-10,1018
2020-03-11,2020-03-11,1263
2020-03-12,2020-03-12,1668
2020-03-13,2020-03-13,2224
2020-03-14,2020-03-14,2898
2020-03-15,2020-03-15,3600
2020-03-16,2020-03-16,4507
2020-03-17,2020-03-17,5905
2020-03-18,2020-03-18,8345
2020-03-19,2020-03-19,12413
2020-03-20,2020-03-20,17996
2020-03-21,2020-03-21,24532
2020-03-22,2020-03-22,33061
2020-03-23,2020-03-23,43499
2020-03-24,2020-03-24,53938
2020-03-25,2020-03-25,68515
2020-03-26,2020-03-26,85533
2020-03-27,2020-03-27,102648
2020-03-28,2020-03-28,123628
2020-03-29,2020-03-29,142161
